"idpub","brdxdy","sexrsp","deatyr","POP57","PI5760","DGLEV","EDYRCM","YRER74","RU024REC","MZ023RER","GI503RE","gu024re","IZ023RER","HD201KD","hi503rea","HU024RE","jz023rer","q1i503rea","Q1U024RE","q1c003re","q1z023rer"
926865,1939,1,2015,4,-3,-2,-2,210,-2,3,-2,-2,15,0,-2,-2,0,NA,NA,NA,NA
926871,1939,2,-2,2,19,-2,-2,3,6,6,6,4,4,3,10,-2,10,5,2,1,4
926875,1938,2,-2,2,-3,-2,-2,0,0,4,8,0,2,2,-30,-30,-29,NA,NA,NA,NA
926877,1939,2,-2,9,309,-2,1,120,0,20,6,0,12,3,6,-2,16,5,5,1,1
926878,1939,1,2019,4,63,2,5,92,0,3,-3,0,4,2,8,-2,3,NA,NA,NA,NA
926881,1939,1,2006,4,37,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926882,1939,2,-2,4,44,-2,2,40,-2,2,-2,-2,4,4,-2,-2,1,NA,NA,NA,NA
926884,1938,2,2019,3,22,-2,-2,144,6,0,6,0,1,3,6,-2,0,NA,NA,NA,NA
926885,1938,1,2021,4,35,-2,-2,110,0,0,8,0,-3,5,6,-2,1,8,-2,1,0
926886,1938,2,-2,9,91,-2,-2,0,-2,2,-2,-2,1,5,-2,-2,3,NA,NA,NA,NA
926889,1939,2,2008,5,-3,2,5,79,3,4,6,0,2,NA,NA,NA,NA,NA,NA,NA,NA
926890,1939,2,-2,3,39,-2,3,12,0,8,6,6,8,2,7,-2,6,8,-2,1,12
926894,1937,1,-2,6,61,-2,-2,110,0,NA,-5,-5,NA,4,6,-2,3,4,3,1,6
926900,1939,2,-2,9,82,-2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926902,1938,1,-2,2,58,-2,-2,130,0,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
926916,1939,2,-2,3,15,-2,-2,40,0,4,12,0,1,NA,NA,NA,NA,NA,NA,NA,NA
926917,1939,2,-2,2,-3,-2,-2,50,4,20,8,3,NA,3,9,-2,9,0,-2,1,7
926918,1939,2,2010,3,21,-2,-2,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926919,1939,2,2022,6,62,-2,0,2,0,2,0,0,0,5,8,-2,3,4,-2,1,0
926924,1939,1,-2,9,66,2,5,200,0,3,6,0,6,2,6,-2,3,6,-2,1,4
926925,1939,2,1971,9,109,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926926,1939,1,2017,4,12,-2,-2,95,3,4,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
926930,1939,1,-2,4,16,2,4,210,-2,3,8,0,3,4,10,-2,6,6,-2,1,4
926937,1939,2,-2,3,12,-2,-2,81,0,0,9,0,0,3,8,-2,2,5,-2,1,6
926940,1939,1,-2,6,-3,-2,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926941,1938,2,-2,5,55,-2,-2,0,-2,0,-2,-2,0,5,-2,-2,0,NA,NA,NA,NA
926944,1939,2,-2,9,87,2,4,1,0,1,9,0,0,3,4,-2,0,5,-2,1,0
926946,1939,2,1990,2,23,-2,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926950,1939,1,2017,4,6,-2,2,280,0,2,6,0,2,2,10,-2,NA,NA,NA,NA,NA
926954,1939,1,1990,3,64,2,6,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926958,1939,1,2018,3,18,-2,-2,110,0,1,6,0,1,5,6,-2,1,NA,NA,NA,NA
926963,1939,2,2014,6,48,-2,-2,18,-2,9,-2,-2,4,3,-2,-2,4,NA,NA,NA,NA
926964,1939,1,1991,2,88,2,4,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926974,1939,1,2002,2,46,-2,-2,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926977,1939,2,2020,4,14,4,9,144,0,9,6,0,4,0,9,-2,2,NA,NA,NA,NA
926980,1939,1,-2,3,32,-2,-2,140,3,NA,4,0,2,3,7,-2,1,7,-2,1,5
926981,1938,2,2018,3,-3,-2,-2,2,-2,NA,-2,-2,1,10,-2,-2,-29,NA,NA,NA,NA
926987,1939,1,-2,2,43,-2,0,190,-2,10,-2,-2,9,3,-2,-2,6,NA,NA,NA,NA
926988,1938,2,-2,2,-3,-2,-2,0,6,3,7,0,3,3,7,-2,2,NA,NA,NA,NA
926991,1939,1,2014,5,40,-2,1,190,0,2,6,0,2,2,5,-2,2,NA,NA,NA,NA
926995,1939,2,1985,3,35,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926997,1939,2,-2,3,50,2,4,105,0,4,11,0,3,1,11,-2,4,10,-2,2,2
927000,1939,2,-2,9,14,-2,-2,18,0,2,8,0,2,3,8,-2,NA,NA,NA,NA,NA
